# ipsascii.html
# DO NOT USE AS BLOCKLIST
# you may obtain longer/shorter lists by adding '?limit=1234' to the URL
# "1234" is the number of IPs returned. You can specify a number between 10
# and 10,000.
# created: Mon, 27 Jul 2015 08:44:31 +0000
# Date in GMT. YYYY-MM-DD format.
150.164.032.053	2954450	977485	2015-07-25	2015-07-27
150.164.025.015	113227	87314	2015-07-03	2015-07-22
043.255.188.132	644465	74454	2015-05-18	2015-07-07
043.255.188.130	484838	71902	2015-05-18	2015-07-07
221.203.003.117	760521	71096	2015-02-08	2015-07-27
218.065.030.107	909834	70732	2015-02-04	2015-07-27
043.255.188.131	437374	67089	2015-05-18	2015-07-07
043.255.188.135	401304	66623	2015-05-18	2015-07-07
043.255.188.133	440368	66579	2015-05-18	2015-07-07
045.114.011.044	348074	66276	2015-07-20	2015-07-27
045.114.011.047	398901	66119	2015-07-20	2015-07-27
176.031.103.210	309433	64731	2015-06-19	2015-07-05
192.169.219.156	233849	64179	2015-06-25	2015-06-28
218.087.111.107	801658	63238	2015-02-11	2015-07-27
184.105.139.067	1681810	63056	2015-03-09	2015-07-27
043.255.188.134	430824	62954	2015-05-18	2015-07-07
069.089.022.103	439550	62916	2015-05-19	2015-07-02
045.114.011.048	356359	62234	2015-07-20	2015-07-27
045.114.011.046	361538	61605	2015-07-20	2015-07-27
045.114.011.049	313267	61385	2015-07-20	2015-07-27
203.173.050.151	367821	61324	2015-05-18	2015-07-18
167.114.133.165	237314	60831	2015-07-04	2015-07-07
023.229.164.164	258042	59374	2015-06-18	2015-07-03
061.160.224.130	549234	58702	2014-09-12	2015-07-09
222.186.021.202	287586	58358	2015-03-09	2015-07-27
037.187.255.064	196997	55877	2015-06-08	2015-07-24
178.019.104.138	318260	54574	2015-03-03	2015-07-27
178.132.240.126	119751	53074	2015-05-11	2015-07-11
061.160.224.128	647861	51769	2014-08-28	2015-07-27
216.234.048.099	236176	50765	2015-06-19	2015-06-29
176.031.241.210	107444	50732	2015-06-15	2015-07-20
218.077.079.043	501814	50382	2014-06-11	2015-07-27
222.186.034.246	921664	49233	2015-04-23	2015-07-22
151.080.098.183	107887	48747	2015-07-09	2015-07-23
103.031.222.089	95480	48634	2015-07-26	2015-07-26
